GIS	56.94	-0.09	
GM	30.65	+0.04	
GPC	90.64	-0.23	
GNW	7.79	-0.05	
GILD	118.26	-0.59	
GS	212.46	+1.28	
GT	30.50	+0.11	
GOOGL	699.62	+97.84	
GOOG	672.93	+93.08	
GWW	233.36	+1.00	
HAL	39.99	-0.22	
HOG	54.96	-0.72	
HAR	107.00	-1.29	
HRS	82.17	-0.15	
HIG	46.84	-0.44	
HAS	78.25	-0.17	
HCP	37.50	-0.30	
HCN	67.30	-0.23	
HP	60.53	-1.41	
HES	61.42	-1.26	
HPQ	30.36	+0.01	
HD	114.47	-0.26	
HON	105.54	+1.97	
HRL	57.62	-0.73	
HSP	89.30	+0.07	
HST	21.20	-0.09	
HCBK	10.38	+0.09	
HUM	187.44	+1.02	
HBAN	11.54	-0.04	
ITW	93.02	-0.59	
IR	67.63	-0.05	
TEG	69.66	+0.00	
INTC	29.47	-0.43	
ICE	231.72	-0.60	
IBM	172.51	+1.51	
IP	47.64	-0.47	
IPG	20.12	+0.01	
IFF	112.64	-0.71	
INTU	106.77	-1.33	
ISRG	489.81	-0.20	
IVZ	38.49	-0.11	
IRM	31.73	-0.04	
JEC	39.98	-0.47	
JNJ	100.08	-1.03	
JCI	47.60	+0.07	
JOY	30.71	-0.68	
JPM	69.21	-0.35	
JNPR	26.39	+0.04	
KSU	98.60	+6.05	
K	64.35	-0.15	
KEY	14.94	-0.23	
GMCR	69.65	-0.77	
KMB	112.40	+0.37	
KIM	24.45	-0.09	
KMI	36.89	-0.51	
KLAC	51.93	-0.65	
KSS	62.26	-1.47	
KRFT	88.19	+0.00	
KR	38.72	+0.13	
LB	83.18	-1.32	
LLL	122.67	-0.62	
LH	122.30	-1.39	
LRCX	77.26	-0.09	
LM	49.17	-0.49	
LEG	50.64	-0.36	
LEN	52.44	-0.44	
LVLT	53.04	+0.04	
LUK	24.85	-0.13	
LLY	87.37	+0.20	
LNC	58.40	-0.70	
LLTC	43.57	-0.01	
LMT	201.18	-0.44	
L	38.57	-0.40	
LO	71.40	+0.00	
LOW	67.53	-0.70	
LYB	97.50	-3.25	
MTB	131.22	+0.41	
MAC	78.25	-0.24	
M	72.31	-0.49	
MMM	156.69	-0.48	
MNK	123.14	-1.18	
MRO	23.57	-0.70	
MPC	58.58	+0.10	
MAR	77.70	-0.55	
MMC	58.37	-0.18	
MAS	22.86	-0.41	
MA	96.08	+0.26	
MAT	24.31	-0.84	
MKC	80.01	-0.59	
MCD	97.50	-0.36	
MHFI	104.78	-0.50	
MCK	234.46	-0.56	
MJN	87.79	+0.04	
MWV	48.30	+0.00	
MDT	76.91	+0.11	
MRK	58.82	+0.00	
MET	57.49	-0.21	
